country,code,ASR (World)
Afghanistan,004,11.03
Albania,008,41.51
Algeria,012,19.52
Angola,024,3.28
Azerbaijan,031,37.51
Argentina,032,29.98
Australia,036,27.05
Austria,040,31.15
Bahamas,044,13.06
Bahrain,048,15.07
Bangladesh,050,13.45
Armenia,051,57.38
Barbados,052,13.19
Belgium,056,42.31
Bhutan,064,6.53
Bolivia,068,11.55
Bosnia Herzegovina,070,59.51
Botswana,072,6.46
Brazil,076,18.34
Belize,084,13.59
Solomon Islands,090,9.4
Brunei Darussalam,096,25.55
Bulgaria,100,43.8
Myanmar,104,21.59
Burundi,108,4.18
Belarus,112,56.48
Cambodia,116,23.93
Cameroon,120,4.37
Canada,124,34.86
Cape Verde,132,1.82
Central African Republic,140,2.68
Sri Lanka,144,11.23
Chad,148,3.48
Chile,152,16.98
China,160,52.03
Colombia,170,13.12
Comoros,174,2.63
"Congo, Republic of",178,2.08
"Congo, Democratic Republic of",180,2.78
Costa Rica,188,9.73
Croatia,191,56.35
Cuba,192,38.29
Cyprus,196,41.35
Czechia,203,31.27
Benin,204,2.07
Denmark,208,34.27
Dominican Republic,214,15.07
Ecuador,218,6.62
El Salvador,222,5.21
Equatorial Guinea,226,2.91
Ethiopia,231,3.88
Eritrea,232,3.69
Estonia,233,45.02
Fiji,242,9.06
Finland,246,25.05
France (metropolitan),250,49.0
French Guyana,254,23.83
French Polynesia,258,57.39
Djibouti,262,3.6
Gabon,266,3.48
Georgia,268,45.93
The Republic of the Gambia,270,9.51
Gaza Strip and West Bank,275,35.83
Germany,276,35.23
Ghana,288,3.14
Greece,300,49.64
"France, Guadeloupe",312,18.71
Guam,316,45.48
Guatemala,320,4.5
Guinea,324,5.21
Guyana,328,6.43
Haiti,332,5.54
Honduras,340,8.8
Hungary,348,64.36
Iceland,352,26.07
India,356,8.46
Indonesia,360,21.3
"Iran, Islamic Republic of",364,16.73
Iraq,368,23.45
Ireland,372,32.61
Israel,376,29.91
Italy,380,34.54
Côte d'Ivoire,384,3.47
Jamaica,388,19.01
Japan,392,47.19
Kazakhstan,398,41.44
Jordan,400,24.11
Kenya,404,3.56
"Korea, Democratic People Republic of",408,50.11
"Korea, Republic of",410,38.58
Kuwait,414,7.65
Kyrgyzstan,417,26.26
Lao People's Democratic Republic,418,27.09
Lebanon,422,25.69
Lesotho,426,5.0
Latvia,428,45.7
Liberia,430,4.02
Libya,434,32.19
Lithuania,440,44.88
Luxembourg,442,31.56
Madagascar,450,2.8
Malawi,454,2.22
Malaysia,458,23.23
Maldives,462,18.13
Mali,466,4.54
Malta,470,27.72
"France, Martinique",474,12.74
Mauritania,478,2.81
Mauritius,480,12.2
Mexico,484,7.3
Mongolia,496,35.91
Moldova,498,42.81
Montenegro,499,58.77
Morocco,504,38.44
Mozambique,508,2.35
Oman,512,6.96
Namibia,516,8.28
Nepal,524,12.86
The Netherlands,528,36.5
New Caledonia,540,59.25
Vanuatu,548,11.79
New Zealand,554,33.13
Nicaragua,558,7.13
Niger,562,1.83
Nigeria,566,1.9
Norway,578,28.65
Pakistan,586,9.49
Panama,591,8.69
Papua New Guinea,598,13.63
Paraguay,600,21.4
Peru,604,6.87
Philippines,608,37.66
Poland,616,52.54
Portugal,620,36.85
Guinea-Bissau,624,3.11
Timor-Leste,626,14.7
Puerto Rico,630,14.86
Qatar,634,6.05
"France, La Réunion",638,36.34
Romania,642,49.25
Russian Federation,643,52.38
Rwanda,646,4.41
Saint Lucia,662,16.52
Sao Tome and Principe,678,15.98
Saudi Arabia,682,5.62
Senegal,686,4.17
Serbia,688,59.6
Sierra Leone,694,2.74
Singapore,702,33.22
Slovakia,703,36.52
Viet Nam,704,31.54
Slovenia,705,43.81
Somalia,706,3.89
South Africa,710,27.57
Zimbabwe,716,9.22
Spain,724,41.36
South Sudan,728,2.42
Sudan,729,3.14
Suriname,740,24.11
Eswatini,748,7.59
Sweden,752,15.75
Switzerland,756,27.93
Syrian Arab Republic,760,28.74
Tajikistan,762,7.05
Thailand,764,25.91
Togo,768,3.11
Trinidad and Tobago,780,19.16
United Arab Emirates,784,6.78
Tunisia,788,37.75
Türkiye,792,67.99
Turkmenistan,795,16.14
Uganda,800,3.45
Ukraine,804,41.71
North Macedonia,807,49.44
Egypt,818,13.93
United Kingdom,826,31.92
"Tanzania, United Republic of",834,2.75
United States of America,840,33.7
Burkina Faso,854,3.01
Uruguay,858,46.56
Uzbekistan,860,13.63
Venezuela,862,20.38
Samoa,882,49.63
Yemen,887,5.04
Zambia,894,4.57
