code,country,both,male,female
004,Afghanistan,3.83,4.51,3.15
008,Albania,7.02,9.8,4.27
012,Algeria,4.52,4.8,4.22
024,Angola,3.67,3.25,4.09
031,Azerbaijan,5.53,7.06,4.17
032,Argentina,3.66,4.19,3.18
036,Australia,5.63,6.69,4.61
040,Austria,5.26,6.21,4.36
044,Bahamas,1.85,1.72,1.89
048,Bahrain,2.11,2.08,2.16
050,Bangladesh,0.81,1.01,0.61
051,Armenia,6.78,7.64,6.03
052,Barbados,1.05,0.86,1.22
056,Belgium,4.96,5.9,4.04
064,Bhutan,1.88,2.08,1.65
068,Bolivia,2.29,2.25,2.31
070,Bosnia Herzegovina,6.61,7.8,5.45
072,Botswana,0.58,0.59,0.57
076,Brazil,4.6,5.17,4.1
084,Belize,0.89,1.26,0.52
090,Solomon Islands,0.34,0.36,0.31
096,Brunei Darussalam,1.06,1.31,0.78
100,Bulgaria,6.8,7.95,5.76
104,Myanmar,2.06,2.28,1.87
108,Burundi,1.31,1.16,1.41
112,Belarus,5.09,5.16,5.04
116,Cambodia,3.76,3.5,3.96
120,Cameroon,0.51,0.54,0.49
124,Canada,5.46,6.31,4.64
132,Cape Verde,0.25,0.0,0.42
140,Central African Republic,0.74,0.8,0.69
144,Sri Lanka,1.79,2.25,1.44
148,Chad,0.75,0.65,0.86
152,Chile,3.05,3.35,2.75
160,China,4.17,4.13,4.2
170,Colombia,3.33,4.09,2.64
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",0.29,0.3,0.29
180,"Congo, Democratic Republic of",0.63,0.64,0.62
188,Costa Rica,3.72,4.45,3.03
191,Croatia,6.47,7.82,5.24
192,Cuba,5.15,5.6,4.73
196,Cyprus,6.89,7.5,6.21
203,Czechia,4.94,5.81,4.12
204,Benin,0.9,1.22,0.64
208,Denmark,5.72,6.66,4.83
214,Dominican Republic,3.44,3.88,3.03
218,Ecuador,3.64,3.78,3.5
222,El Salvador,3.93,4.62,3.36
226,Equatorial Guinea,0.66,0.46,0.84
231,Ethiopia,1.09,0.99,1.18
232,Eritrea,1.23,1.2,1.2
233,Estonia,6.16,6.99,5.46
242,Fiji,0.22,0.23,0.2
246,Finland,4.76,5.78,3.78
250,France (metropolitan),6.39,7.9,4.97
254,French Guyana,1.99,1.41,2.58
258,French Polynesia,2.11,2.61,1.62
262,Djibouti,0.6,0.5,0.68
266,Gabon,0.96,1.02,0.99
268,Georgia,6.97,8.49,5.76
270,The Republic of the Gambia,0.39,0.42,0.35
275,Gaza Strip and West Bank,3.62,4.19,3.07
276,Germany,5.14,6.15,4.16
288,Ghana,1.8,1.36,2.1
300,Greece,6.51,7.82,5.29
312,"France, Guadeloupe",1.83,2.19,1.53
316,Guam,0.0,0.0,0.0
320,Guatemala,1.83,1.64,1.99
324,Guinea,3.74,3.56,3.79
328,Guyana,0.24,0.27,0.21
332,Haiti,0.37,0.26,0.48
340,Honduras,4.62,5.0,4.28
348,Hungary,5.16,6.17,4.29
352,Iceland,8.17,9.25,7.1
356,India,2.29,2.81,1.74
360,Indonesia,2.0,2.34,1.67
364,"Iran, Islamic Republic of",6.28,6.99,5.55
368,Iraq,5.53,6.06,5.04
372,Ireland,6.05,7.01,5.14
376,Israel,5.07,5.59,4.57
380,Italy,5.64,7.04,4.3
384,Côte d'Ivoire,1.16,0.98,1.38
388,Jamaica,2.12,2.51,1.75
392,Japan,2.52,2.76,2.28
398,Kazakhstan,3.73,4.27,3.28
400,Jordan,4.79,6.17,3.39
404,Kenya,2.1,1.93,2.26
408,"Korea, Democratic People Republic of",3.29,3.76,2.9
410,"Korea, Republic of",2.91,3.22,2.62
414,Kuwait,1.81,2.15,1.25
417,Kyrgyzstan,3.9,4.69,3.36
418,Lao People's Democratic Republic,3.02,3.08,2.99
422,Lebanon,4.01,4.84,3.17
426,Lesotho,0.47,0.65,0.38
428,Latvia,6.45,7.62,5.45
430,Liberia,2.37,2.25,2.45
434,Libya,4.54,5.74,3.32
440,Lithuania,6.79,8.57,5.31
442,Luxembourg,3.23,4.26,2.44
450,Madagascar,1.15,1.1,1.19
454,Malawi,0.62,0.5,0.68
458,Malaysia,2.53,2.82,2.25
462,Maldives,1.51,2.44,0.29
466,Mali,1.3,1.35,1.27
470,Malta,5.24,6.01,4.51
474,"France, Martinique",2.11,3.31,1.17
478,Mauritania,1.3,1.57,1.07
480,Mauritius,2.35,2.85,1.85
484,Mexico,2.59,2.94,2.28
496,Mongolia,3.02,3.03,2.95
498,Moldova,6.17,7.36,5.2
499,Montenegro,7.9,10.44,5.41
504,Morocco,3.48,4.59,2.42
508,Mozambique,0.39,0.22,0.54
512,Oman,2.73,3.36,1.76
516,Namibia,1.49,1.66,1.34
524,Nepal,1.05,1.52,0.64
528,The Netherlands,5.12,6.16,4.08
540,New Caledonia,3.33,5.67,1.12
548,Vanuatu,0.0,0.0,0.0
554,New Zealand,5.41,6.44,4.46
558,Nicaragua,2.61,2.33,2.89
562,Niger,0.82,1.5,0.15
566,Nigeria,1.05,1.26,0.86
578,Norway,7.15,8.27,6.03
586,Pakistan,2.67,3.1,2.23
591,Panama,1.97,2.28,1.68
598,Papua New Guinea,1.1,1.43,0.8
600,Paraguay,2.57,3.2,1.93
604,Peru,2.9,3.41,2.41
608,Philippines,2.35,2.68,2.07
616,Poland,6.68,7.87,5.61
620,Portugal,6.2,7.39,5.16
624,Guinea-Bissau,2.39,2.3,2.39
626,Timor-Leste,1.02,1.36,0.66
630,Puerto Rico,3.03,3.12,2.98
634,Qatar,1.79,1.86,1.38
638,"France, La Réunion",3.44,4.0,2.91
642,Romania,6.53,7.84,5.3
643,Russian Federation,5.25,6.06,4.62
646,Rwanda,1.58,1.37,1.78
662,Saint Lucia,0.0,0.0,0.0
678,Sao Tome and Principe,0.0,0.0,0.0
682,Saudi Arabia,1.94,2.29,1.45
686,Senegal,2.06,2.08,2.01
688,Serbia,5.85,7.11,4.68
694,Sierra Leone,0.01,0.0,0.02
702,Singapore,2.84,3.04,2.65
703,Slovakia,5.65,6.35,4.99
704,Viet Nam,2.56,3.0,2.17
705,Slovenia,5.79,7.45,4.16
706,Somalia,1.44,1.48,1.41
710,South Africa,1.49,1.83,1.21
716,Zimbabwe,2.17,1.85,2.37
724,Spain,5.42,6.27,4.62
728,South Sudan,1.33,1.22,1.41
729,Sudan,1.38,1.51,1.26
740,Suriname,2.82,4.9,0.93
748,Eswatini,0.47,0.28,0.64
752,Sweden,6.13,6.7,5.58
756,Switzerland,5.57,6.61,4.59
760,Syrian Arab Republic,6.29,8.18,4.6
762,Tajikistan,4.53,5.76,3.39
764,Thailand,2.81,3.04,2.61
768,Togo,0.79,1.13,0.49
780,Trinidad and Tobago,2.03,2.46,1.62
784,United Arab Emirates,2.05,1.94,2.25
788,Tunisia,3.31,4.14,2.5
792,Türkiye,6.36,8.13,5.06
795,Turkmenistan,4.34,5.11,3.69
800,Uganda,1.88,1.83,1.84
804,Ukraine,4.07,4.63,3.61
807,North Macedonia,7.29,9.67,5.08
818,Egypt,4.58,5.1,4.08
826,United Kingdom,5.47,6.4,4.58
834,"Tanzania, United Republic of",0.46,0.53,0.38
840,United States of America,5.46,6.25,4.7
854,Burkina Faso,2.39,2.36,2.49
858,Uruguay,4.93,5.98,4.01
860,Uzbekistan,4.9,5.49,4.4
862,Venezuela,2.77,3.06,2.5
882,Samoa,2.23,4.54,0.0
887,Yemen,2.93,3.58,2.33
894,Zambia,2.04,2.1,2.08
